,time,F: theta1,F: theta1dot,F: theta2,F: theta2dot
0,0.0,0.0,0.0,0.0,0.0
1,0.001,3.149803113527456e-09,9.085001614050382e-06,-2.9851302049364283e-09,-8.54409749029218e-06
2,0.002,2.3342184242385053e-08,3.0948632489375614e-05,-2.182358253754228e-08,-2.8102439655143627e-05
3,0.003,6.91589694849271e-08,6.128614190213712e-05,-6.279261183011909e-08,-5.3962982681097e-05
4,0.004,1.4659450142849302e-07,9.709261808229834e-05,-1.2944504889882062e-07,-8.290735046317179e-05
5,0.005,2.62513152617097e-07,0.00013492710926383362,-2.2662460142352512e-07,-0.00011118411508034444
6,0.006,4.173234770829034e-07,0.00017459003010977561,-3.519024540488609e-07,-0.00013880704469958042
7,0.007,6.11994820687564e-07,0.00021560086116554603,-5.037386505360148e-07,-0.00016544155483270013
8,0.008,8.482685719121598e-07,0.0002570924914760192,-6.817017074946645e-07,-0.00019028347275090062
9,0.009000000000000001,1.1265959879597736e-06,0.0002988457959568084,-8.840584028503292e-07,-0.00021326831674215284
10,0.01,1.4466423460651251e-06,0.0003410361313146584,-1.108361523571234e-06,-0.00023477518314414392
11,0.011,1.8085748101675383e-06,0.0003835879189316965,-1.3528990828149379e-06,-0.0002548769921687828
12,0.012,2.2130582834335373e-06,0.00042617682190459615,-1.6166838481905671e-06,-0.0002733434961692057
13,0.013000000000000001,2.6606431978801467e-06,0.0004685368042878624,-1.8987273429229165e-06,-0.00029000109696134717
14,0.014,3.150812874442875e-06,0.0005109366188118654,-2.196962843934768e-06,-0.00030528692868918116
15,0.015,3.6832907710104715e-06,0.0005535248794484391,-2.5097342436741155e-06,-0.00031948651600447267
16,0.016,4.258046372789771e-06,0.0005963279505874754,-2.8357569953269047e-06,-0.0003327350869844467
17,0.017,4.875294162113963e-06,0.0006392504648853459,-3.17411683380212e-06,-0.0003450181846551928
18,0.018000000000000002,5.535493618442605e-06,0.0006820753232649017,-3.5242697757317886e-06,-0.0003561716669916654
19,0.019,6.2393605338039476e-06,0.0007244595738264358,-3.886044310531966e-06,-0.00036587754344552097
20,0.02,6.986584846398147e-06,0.0007665724548970561,-4.258189073395077e-06,-0.0003744067446259516
21,0.021,7.776201582134814e-06,0.0008089073452990826,-4.638796981799617e-06,-0.00038240049937502844
22,0.022,8.60767415659153e-06,0.0008517455839096845,-5.026501743638553e-06,-0.000390248234194057
23,0.023,9.480906815681851e-06,0.0008951503456465931,-5.4204914024925e-06,-0.0003980804786339165
24,0.024,1.03962446356553e-05,0.0009389666414681002,-5.820508337629711e-06,-0.0004057688652950595
25,0.025,1.1354473523097369e-05,0.0009828213183730593,-6.2268492640060896e-06,-0.00041292612982751217
26,0.026000000000000002,1.235682021492952e-05,0.0010261230594008853,-6.64036523226518e-06,-0.0004189061109308744
27,0.027,1.3404353551926133e-05,0.0010683611404507243,-7.061775769028151e-06,-0.00042315203861229694
28,0.028,1.4495323383808878e-05,0.0011104255312143997,-7.4885959262327905e-06,-0.0004267390738830901
29,0.029,1.5628359104123753e-05,0.0011530122594045392,-7.918795139406731e-06,-0.00043051547505063763
30,0.03,1.680302107678517e-05,0.0011963583246153823,-8.351454353059072e-06,-0.0004347894728484444
31,0.031,1.801972649944786e-05,0.001240279050435137,-8.786682078913387e-06,-0.0004393726628508552
32,0.032,1.9279749403506847e-05,0.001284168084445977,-9.225614395907713e-06,-0.00044358000547305425
33,0.033,2.0584976352321645e-05,0.00132711843246034,-9.670128942771693e-06,-0.0004463716136847826
34,0.034,2.1934443516764205e-05,0.0013696323398510657,-1.0118792921900302e-05,-0.00044835679795377474
35,0.035,2.3326674539227436e-05,0.0014124589255578705,-1.0569597418392815e-05,-0.00045043344555115405
36,0.036000000000000004,2.4761156733233745e-05,0.0014558738468964884,-1.1021677299568896e-05,-0.0004529426738448267
37,0.037,2.623804983078268e-05,0.0014998247671564576,-1.1474969545139898e-05,-0.0004558390654617704
38,0.038,2.7758185982350987e-05,0.001543931355601124,-1.193021324720888e-05,-0.00045869066828803487
39,0.039,2.932306035122962e-05,0.0015874899769735794,-1.2388938581885207e-05,-0.00046068448435105313
40,0.04,3.093311313458727e-05,0.0016303190994867603,-1.2851452816715676e-05,-0.0004616181995507368
41,0.041,3.25867484005591e-05,0.0016732259307722284,-1.3315688812273108e-05,-0.0004624509976962059
42,0.042,3.428299958523698e-05,0.0017167081649297478,-1.3780326588502507e-05,-0.00046377814404118586
43,0.043000000000000003,3.602161735414891e-05,0.0017609173125147654,-1.4244895784255002e-05,-0.00046578667493549756
44,0.044,3.780306960225902e-05,0.0018056587005384102,-1.4709775657287858e-05,-0.00046825539782505745
45,0.045,3.9628541453967614e-05,0.0018503914724674938,-1.5176195084264474e-05,-0.00047055489125187773
46,0.046,4.1499910943179636e-05,0.001894240748949648,-1.5646204120007716e-05,-0.0004716617245880056
47,0.047,4.3417502388774266e-05,0.0019370942149656897,-1.6120036962282717e-05,-0.0004714469321055539
48,0.048,4.537905022924289e-05,0.0019800771018686934,-1.6594883527986207e-05,-0.0004712415136063216
49,0.049,4.738311505132463e-05,0.002023912684400042,-1.7068907851482826e-05,-0.00047190353847380203
50,0.05,4.942929673807578e-05,0.0020688288971861687,-1.754150200554316e-05,-0.00047370590117460466
51,0.051000000000000004,5.151823446886983e-05,0.002114558334738556,-1.8013286101343756e-05,-0.0004763363212584552
52,0.052000000000000005,5.3651606719397425e-05,0.0021603382514537375,-1.848610828846711e-05,-0.00047889734335819544
53,0.053,5.583212726593756e-05,0.002204912505785935,-1.896304005645752e-05,-0.000479908623527571
54,0.054,5.806033216841209e-05,0.002248077580868041,-1.944459137801503e-05,-0.0004791292095004815
55,0.055,6.033302387030455e-05,0.0022913980037880203,-1.9926864573640963e-05,-0.0004784089202002477
56,0.056,6.264855746690993e-05,0.0023356892417846693,-2.040779127640155e-05,-0.0004787150569572178
57,0.057,6.500653638611274e-05,0.0023811808232450217,-2.0886780417806787e-05,-0.00048032061706236893
58,0.058,6.740781238838706e-05,0.0024275163377043517,-2.136471822781045e-05,-0.0004828042937673076
59,0.059000000000000004,6.985448556679649e-05,0.002473753435846172,-2.1843968234810068e-05,-0.0004850504762842696
60,0.06,7.234961667566319e-05,0.0025185003816172798,-2.232803123944314e-05,-0.0004854106903038675
61,0.061,7.489173182456823e-05,0.002562509269030697,-2.281504448630284e-05,-0.00048477318992394807
62,0.062,7.747836300754735e-05,0.002606981046552767,-2.330196147259818e-05,-0.00048456255447075616
63,0.063,8.010868630694484e-05,0.0026523456923433306,-2.378768174464781e-05,-0.00048528962963439467
64,0.064,8.278287737295757e-05,0.0026985723314356036,-2.4272290550633724e-05,-0.00048691715086066073
